,video_id,video_count,predictions,perc
0,--JinobXWPk,71,0,0.0
1,--y69Ui8xwM,16,0,0.0
2,-1fzGnFwz9M,26,0,0.0
3,-2hRYEFiPSA,37,0,0.0
4,-6Zc8Co2H3w,188,0,0.0
5,-AJyaVduxCc,30,1,0.03333333333333333
6,-Egtbs-go4Q,29,0,0.0
7,-HGQJx5M8js,32,0,0.0
8,-Ifnaxi2LQg,211,2,0.009478672985781991
9,-JmNKGfFj7w,107,1,0.009345794392523364
10,-LoSw4o2zDQ,23,0,0.0
11,-QL9dvmddYs,20,0,0.0
12,-_Q5kO4YXFs,55,1,0.01818181818181818
13,-abYDzdg5Vg,34,0,0.0
14,-c_FsbYR8Q4,23,0,0.0
15,-eTpw0X9FRQ,1,0,0.0
16,-f-gdt9p-k0,121,0,0.0
17,-fbsJZZ2KMw,70,0,0.0
18,-jFgNreZPf0,167,1,0.005988023952095809
19,-p6WWRarjNs,43,0,0.0
20,-q47sHA4eAo,118,0,0.0
21,-rwylqSsN0I,8,0,0.0
22,-uRgjsiPEeM,19,0,0.0
23,-vjLBmZHWgE,39,0,0.0
24,-w9EFpyESSU,27,1,0.037037037037037035
25,-yKW9NG2yNc,52,0,0.0
26,-zCYX0esYlo,55,0,0.0
27,03IUgOd4GH4,153,3,0.0196078431372549
28,05v4nfUmBYI,85,1,0.011764705882352941
29,07VBLa4RMKs,32,0,0.0
30,07v6qA2l3n4,55,2,0.03636363636363636
31,08RHSZvixec,35,0,0.0
32,09xOyqOO1Eg,22,0,0.0
33,0AaApxaD170,43,0,0.0
34,0Ac0Q7iL_T4,77,0,0.0
35,0G9L9QKTSQM,62,0,0.0
36,0H3MirHyX2w,42,0,0.0
37,0HrxgjmzXUs,40,0,0.0
38,0IkPBqbfzg4,47,0,0.0
39,0Jjm3d_7N6A,34,0,0.0
40,0KLFeWlJtvY,19,0,0.0
41,0Pz7DnHikLU,110,0,0.0
42,0QgTwwloZL8,24,0,0.0
43,0Rb2rr1vWpI,23,1,0.043478260869565216
44,0VfGA5bE1AQ,45,0,0.0
45,0Vwyu5kzA_U,7,0,0.0
46,0bcHEsmmpzU,104,1,0.009615384615384616
47,0dWj2k4FMM8,69,0,0.0
48,0eKdNcP4xrM,143,0,0.0
49,0hLx_1Q15eY,52,0,0.0
50,0lDRz8qmXpE,82,0,0.0
51,0oxHdtCw3Ns,46,1,0.021739130434782608
52,0ptNpGfMRCg,90,0,0.0
53,0pwttmAYCTw,128,1,0.0078125
54,0q12l9wH1No,35,0,0.0
55,0qfgZJNCCJQ,44,2,0.045454545454545456
56,0uUFf8IomLg,8,0,0.0
57,0wEHhsvyia0,37,0,0.0
58,10y7JdXctTU,23,0,0.0
59,11S5tcT2Tm0,134,2,0.014925373134328358
60,12MQNUm9iBE,42,0,0.0
61,12fphklmFzk,20,0,0.0
62,12vfxYs6F7E,140,0,0.0
63,16-xMnzDQ4M,17,0,0.0
64,1MA8LIQ5Tec,39,0,0.0
65,1NyMSWqIJDQ,159,0,0.0
66,1PzNy4OhwDk,40,1,0.025
67,1XYcK1Rw0V4,2,0,0.0
68,1Yt1O-OhAm4,21,0,0.0
69,1ZFK3VKzQIs,23,0,0.0
70,1cnBJYystA0,21,0,0.0
71,1csaGKAjAvw,25,0,0.0
72,1cwuh3WDztU,45,2,0.044444444444444446
73,1hvdr7RjNRk,110,1,0.00909090909090909
74,1kHmFjHzR-s,43,0,0.0
75,1kTff70rjig,19,0,0.0
76,1kVLpFilePw,47,0,0.0
77,1k_whpRADOE,57,0,0.0
78,1lOsQBZQ9ok,11,0,0.0
79,1nEp6DcHwhs,29,0,0.0
80,1pCSv7uXcxE,23,0,0.0
81,1rmAi9XmlIo,104,3,0.028846153846153848
82,1wEh5P6T2_Y,38,0,0.0
83,1wwwXCQyIRA,48,0,0.0
84,1yP5Os0f6zA,35,0,0.0
85,1yYV9-KoSUM,129,2,0.015503875968992248
86,1zOPtQNChZM,60,1,0.016666666666666666
87,22RRaO5AuOo,116,0,0.0
88,22tF3y_epZs,38,0,0.0
89,27IzfEkYgWE,31,0,0.0
90,2DTwXdqmRiM,69,0,0.0
91,2FTxKFsWz60,42,1,0.023809523809523808
92,2HcqS508lIo,69,1,0.014492753623188406
93,2NMAmYz7CjA,10,0,0.0
94,2QA57665QM0,37,2,0.05405405405405406
95,2R2xpNeveh0,11,0,0.0
96,2RbyOUqqR8c,33,2,0.06060606060606061
97,2XIuFmRBCv4,4,0,0.0
98,2XzXLzA2Hrc,21,0,0.0
99,2YGrrsKs-Xg,61,1,0.01639344262295082
100,2d-kZs0zPps,28,0,0.0
101,2dJq9ywlHMk,19,0,0.0
102,2iObySa91b0,121,0,0.0
103,2nFO0sMs9Zs,16,1,0.0625
104,2qiBTkVRp1U,38,0,0.0
105,2rqSJDslK-Q,26,0,0.0
106,2ts6s-Ekfoc,5,0,0.0
107,2wxyDrfwlXQ,134,0,0.0
108,3-yamPXZQtU,159,5,0.031446540880503145
109,30QPEkhcYeQ,26,0,0.0
110,30ZmYOcgyx0,38,0,0.0
111,30z5fRChjFQ,3,0,0.0
112,31X8SnfET9s,5,0,0.0
113,32q2VdiAlb4,30,0,0.0
114,35zynOrkvMk,1,0,0.0
115,3BRB0UwY5Ac,32,0,0.0
116,3DrpmXtpFtw,68,1,0.014705882352941176
117,3ImE5jhnOt8,31,0,0.0
118,3JYl1XREYLE,82,0,0.0
119,3N5WORQxQUo,75,0,0.0
120,3QzUSSKfEeA,188,5,0.026595744680851064
121,3VVnY86ulA8,69,2,0.028985507246376812
122,3VxviCvN5sU,26,0,0.0
123,3WEvgqcP8mg,43,0,0.0
124,3ZOioxEGYpQ,20,0,0.0
125,3_BoE9rIbMw,76,0,0.0
126,3d9i_0Ty7Cg,118,0,0.0
127,3fILUAGw2mE,138,0,0.0
128,3fK7KYxLrtQ,12,0,0.0
129,3iKiBx7oCP0,59,0,0.0
130,3uxsHmxQBHA,159,0,0.0
131,3xsEUB-Az94,26,0,0.0
132,3yoGE3v4A8w,21,1,0.047619047619047616
133,40M4DF8aIYs,19,0,0.0
134,41taYOq1kVY,102,2,0.0196078431372549
135,439iY0844xI,111,1,0.009009009009009009
136,47XGull36jM,22,1,0.045454545454545456
137,4AsSp0AhlBc,12,0,0.0
138,4BmaTeRnNgo,13,0,0.0
139,4Cl0kVE94E0,35,1,0.02857142857142857
140,4CyvvCx6Us0,25,1,0.04
141,4LwpGaDKmZ8,71,0,0.0
142,4MkC65emkG4,61,1,0.01639344262295082
143,4NJYWgb6dQM,80,2,0.025
144,4S_9IWKVuVU,18,0,0.0
145,4W-pZrhu798,108,0,0.0
146,4YX_1wql-Xw,130,0,0.0
147,4bh9luFQ3Tc,65,0,0.0
148,4hqqFqcr1K8,17,0,0.0
149,4jfET_Xaq9w,47,0,0.0
150,4k56sdESwHQ,32,0,0.0
151,4kX7iBnoivA,145,0,0.0
152,4nBHdt8Tick,45,0,0.0
153,4nm5gxYA9PE,26,0,0.0
154,4tR_H21CuP8,57,1,0.017543859649122806
155,4tXF7w1Nbhk,38,1,0.02631578947368421
156,4vwVfdMn9Pw,20,0,0.0
157,4xbFVdoRzLQ,40,0,0.0
158,51h1wxOzRxg,10,0,0.0
159,56kiI-JKSdY,89,0,0.0
160,58R1G1XfQCs,52,0,0.0
161,59X_zkBglEY,38,0,0.0
162,5DG26XDPpB8,44,0,0.0
163,5IP8jQNXDOo,39,2,0.05128205128205128
164,5Ij5frweOfw,31,0,0.0
165,5IpgQyDuJbU,27,0,0.0
166,5JcZsNxT2BM,49,1,0.02040816326530612
167,5LXqVd_0cjs,14,0,0.0
168,5LjxhUoMdFQ,14,0,0.0
169,5MYuX9vrP_o,31,0,0.0
170,5PJWCe92K1E,50,2,0.04
171,5UPm14CqYgk,36,0,0.0
172,5Wiio4KoGe8,174,2,0.011494252873563218
173,5al17hlhowA,85,1,0.011764705882352941
174,5cyiXm7vAgc,73,0,0.0
175,5e8-4mBiCSI,23,0,0.0
176,5eSSL8hRU_E,6,0,0.0
177,5i76b0OrdIQ,25,0,0.0
178,5iS_9deMr3s,53,1,0.018867924528301886
179,5o5N-9h_ncw,24,0,0.0
180,5pvkw5KkQuw,24,0,0.0
181,5qkgFES0r-U,85,0,0.0
182,5s4wlmfGwJ4,23,0,0.0
183,5xgX_tNTWgs,89,1,0.011235955056179775
184,5ywKal6-anc,44,0,0.0
185,60p7CcevOQI,21,0,0.0
186,65fZOBR0pmM,53,0,0.0
187,660YlPoECNk,56,1,0.017857142857142856
188,6731LIO2LKI,53,0,0.0
189,67B1ITzDgqo,27,1,0.037037037037037035
190,69mJfm0MZKU,156,1,0.00641025641025641
191,6DjO94xv-ak,11,1,0.09090909090909091
192,6L-nhETPAfY,50,1,0.02
193,6S3U-xlVIhQ,46,0,0.0
194,6Vb6Z9i5sHs,24,1,0.041666666666666664
195,6aKua_hvo5Y,18,0,0.0
196,6gwM9v_OwUc,125,0,0.0
197,6jt3asyth4s,65,0,0.0
198,6l5P7jHUcjI,77,0,0.0
199,6o5L1WafILo,30,0,0.0
200,6v3BWoddSgk,213,3,0.014084507042253521
201,6vGg-jJl30A,34,0,0.0
202,6x62O8A8qHw,82,1,0.012195121951219513
203,7-PlbuWWceE,15,0,0.0
204,7-x4ZP9HEwg,28,0,0.0
205,7-z55AKa07U,29,0,0.0
206,71QPEkD9PhM,36,0,0.0
207,72HS6nTgeOE,14,0,0.0
208,72dxSi8yK54,20,0,0.0
209,73GicaeMo_E,79,0,0.0
210,74zJ4scJzNs,106,3,0.02830188679245283
211,76WkDuiAjeY,105,0,0.0
212,78hbYimcl9c,14,0,0.0
213,7AQ8uAx0ZU8,1,0,0.0
214,7EtMqijwZhs,80,0,0.0
215,7GmcH_Lmkvw,12,0,0.0
216,7HDfCN6ZTuQ,36,1,0.027777777777777776
217,7KHvKzpsQrA,23,0,0.0
218,7KS2oJPzeZk,79,5,0.06329113924050633
219,7KbjNfCV-lY,43,0,0.0
220,7KrANPZhoFI,11,0,0.0
