comment_text,likes,replies,Analysis_comments
FILM TUBE new Channel Frequency モヰn                            .. _,0,0,Neutral
I was expecting a real awesome video like taylor to reate a viral buzz but this is shit  ( ps im a fan so dont get itch bish ),0,0,Neutral
Who else only watched because Nicki was in it?  Dead ass.. Fergie was awful lmaooooo,1,0,Neutral
Nicki verse is garbage she ruined the track,0,0,Neutral
She's 90s queen  if you don't know who im talkinh about nFyi FERGIE,0,0,Neutral
This sucks I have to put a thumbs down on a Nikki song Just because Fergie sucks so f****** bad,0,0,Neutral
Is nobody talking about the fact that Fergie has not aged a day in her life?,0,0,Neutral
This sounds like it would be a good ringtone,0,0,Neutral
Two women id love to have a 3 some with,0,0,Neutral
I don't like this song at all,0,0,Neutral
I just love watching  queen of rap,1,0,Neutral
I was never a Fergie fan but I like this.,0,0,Neutral
I only came here for Nicki,0,0,Neutral
I was just tryna see nicki manaj ass,0,0,Neutral
"Fergie didn't need to put Nicki on the video, by herself she slain it totally, love to hear her rapping too, thumbs up",0,0,Neutral
I wanted to like this. I really did. Fergie is so much better than this though.,0,0,Neutral
It's so surprised,0,0,Neutral
Well idk what I just watched buuuuutttt.... tbh i liked Fergie's singing in the bridge and loved it after 3:01 but tbh i really didn't like the chorus.... but nicki slayed in her long ass weave as always <3,0,0,Neutral
Josh duhamel is the luckiest guy in universe.,0,0,Neutral
First Nicki verse in a while that hasn't been hot garbage,0,0,Neutral
can we talk about how Fergie is 42 and looks 26,0,0,Neutral
I love fergie but these lyrics are trash,0,0,Neutral
I LOVE the 90s vibe to this. Sick,0,0,Neutral
Watch and learn? Damn right she did from Madonna. #GurlPlease,0,0,Neutral
Can we take a moment to talk about that split that fergie did omfg ,0,0,Neutral
sounds like a theme song from a sitcom ....,0,0,Neutral
"ya'll are saying well done nicki, but fergi is fucking SLAYING TOO",0,0,Neutral
sounds  so much like thisnn,0,0,Neutral
WHO WAS THE VIDEO DIRECTOR?,0,0,Neutral
Here we go with the ghetto talk and culture. Cultural degeneration is still going strong.,0,0,Neutral
this is the worst thing i've heard. ever.,0,0,Neutral
really girl? Best cheap video ever,0,0,Neutral
wow... cant wait to see them live,0,0,Neutral
Fergie's flow much better than  flow of many new rappers,0,0,Neutral
Katy should feel bad that they just edited Nicki to be on the Swish mv ,0,0,Neutral
Two Stupid woman showing others how to sell their dignity,0,0,Neutral
This song has the melody of Hard To Forget Ya from Glory by Britney Spears. ,0,0,Neutral
Fergie looks so good with that suit and tie <3 she's beautiful,0,0,Neutral
Fergie has a video spoectacular i also liked to see how it put enough rhythm to the song and at the same time quite sensuality,0,0,Neutral
Nicki in a shirt and tie _︷_,0,0,Neutral
It was worth the wait m/,0,0,Neutral
"I really like this song I like that Nicki had clothes on and looked beautiful. Fergie could have done the same then it would have been a perfect video. Other than that, I like the song a lot.",0,0,Neutral
"Life's a movie, let the camera rollnFast life moving, ain't no going slownThat's right, baby, you already knownYou already know, hope you're ready (ready, steady)nnLet it go, get rolled, I just can't holdnBack and forth 'cause I'm the girl with soulnAin't controlling effects, so what the hecknRock the discotheque 'cause this groove is up nextnTease on the camera, freeze while I animatenI'm no amateur, I'm a laminatenI'ma assassinate all the imitatesnThen I'ma take a break, and meditatenHmm, let me think about itnPut my little noodle on the problem, then I drink about itnDrink a little, swig a little, sip a little, spill a littlenFeel a little loopy when I get a little tipsynBeez got me feeling like a gypsynSmoking on that hookah got me feeling like a hippie, trippynGone for a minute and you missed menNow Fergie back with a bag full of tricksiesnnLife's a movie, let the camera rollnnFast life moving, ain't no going slownThat's right, baby, you already knownYou already know, hope you're readynReady, steady, steady, rockingnnThis is how we do, this is how we donThis is how we do, this is how we donn[Nicki Minaj]nYo, ayo, let it go, let's gonI keep a bar like EsconI wanna ball, where the nets go?nI'm on stage, you can stand where the guests gonBitches is my sons, they don wanna leave the nest thonThey like, uh, where the ref go?nII got these hoes scared to pass, I got that intercept flownI made a movie like Seth RognAnd since I came in the game, they careers on death rownDamn, I ain't see Meek Millie in a weeknFive shows, made three millie in a weeknYou are now looking at the the best, the elitenToo bad you can't go and invest in critiquesnI thick and petite, tell m quick pick a seatnI pull up in a Ghost, no sheets, trick or treatnI know they on E, but I don't give a F, thoughnBad attitude, but my pussy is the best, thoughnn[Fergie]nLife's a movie, let the camera rollnFast life moving, ain't no going slownThat's right, baby, you already knownYou already know, hope you're readynReady, steady, steady, rockingnnThis is how we do, this is how we donThis is how we do, this is how we donnCome get some, you little bumsnDudes want the cake, but they can't get a crumbnFrom the original, sexual, visual dope chick and all that good shitnCharismatic when I'm at itnWhen I, add it up, I'm mathematic, babynTop game, I'm out the atticnThere you have it, no dramatics, hold the staticnPose for the camera, daddy, I'm vogueingnBaby, I'm glamorous, and I'm foldingnGrammys and AMAs, I'm holdingnAmazing the way I keep shit frozennCool, that's true, got new shoes and a new attitudenGot my hair did, got a new hairdonCome and see me at a venue near younnI said watch me, I said watch me when I drop itnJust watch and learn, baby, watch and learn, babynIt's hot, it burns so I drop itnOh baby, watch me when I drop itnYou didn't know I could drop it like that, did you?nYou didn't know I could drop it like that, did you?nnLife's a movie, let the camera rollnFast life moving, ain't no going slownThat's right, baby, you already knownYou already know, hope you're readynReady, steady, steady, rockingnnThis is how we do, this is how we donThis is how we do, this is how we donn[Nicki Minaj]nMake some noise for my girl Fergie Ferg",0,0,Neutral
Makes me think of ``Aluna GeorgeYou know you like it ``,0,0,Neutral
The best part in this song is Nicki _わ_ she slayed it ,0,0,Neutral
Omgd this is a good v铆deo,2,0,Neutral
nicki is a sexy spice to the  song,2,0,Neutral
I actually love this,2,0,Neutral
This makes me want to put peanut butter on my dogs penis and lick it,1,0,Neutral
I'd rather a real rapper on this beat to represent It takes two like Kendrick Lamar.,1,0,Neutral
2017 the year to sample 90's beats.,1,0,Neutral
Love it.....,0,0,Neutral
Fergie getting up there,0,0,Neutral
Fergie looks like Madonna,0,0,Neutral
Nicki Minaj rainha demais,0,0,Neutral
Fergie & Nicki ROCKIN DEM SUITS & FORMAL LOOKS,0,0,Neutral
#Nicki Minaj that is Queen,0,0,Neutral
I missssssseedddddd fergieeeeeeeeeee so much,0,0,Neutral
What is this?,0,0,Neutral
Favorite song わ_,0,0,Neutral
WOW,1,0,Neutral
here before 1M yasss slay,1,0,Neutral
"Oh , nicki saved another song",0,0,Neutral
Fergie channeling her inner Madonna,0,0,Neutral
90`s?????,1,0,Neutral
omg bitch again,0,0,Neutral
I'm getting madonna vibes anyone else?,0,0,Neutral
Epic visuals  _,0,0,Neutral
fergies foot arch tho,0,0,Neutral
Nicki everywhere bro,0,0,Neutral
Great track,0,0,Neutral
Porn 90%nDance 5%nSing 5%,0,0,Neutral
Obsessed,0,0,Neutral
B4 1 MIL SQUAA WERE U AT,0,0,Neutral
Ilove nickki,0,0,Neutral
Crap.,0,0,Neutral
nice,0,0,Neutral
"Fergie verdadeira Queen of rap, who 茅 mijada?",0,0,Neutral
Back_もも,0,0,Neutral
fergie slay that pussy poppin,0,0,Neutral
GENIA FERGIE...,0,0,Neutral
Rainhaaaaas,0,0,Neutral
good,0,0,Neutral
,0,0,Neutral
Queen Nicki Minaj,0,0,Neutral
i fuck witdis 90's discotech,0,0,Neutral
_薪喂_ 喂_ _ra_薪 _胁薪,0,0,Neutral
Wow,0,0,Neutral
rapping fergie fuk yes,0,0,Neutral
make it BOP gaisss,0,0,Neutral
GIRLZ  RESPECT ,0,0,Neutral
Laizon moveeeeee,0,0,Neutral
Nicki with clothes ?,0,0,Neutral
Nicki NEVER disapoints,1,0,Neutral
Like ,1,0,Neutral
my fave song_,1,0,Neutral
Fergie was absolutely fergalicious,3,0,Neutral
驴Soy La Unica Que Habla Espa帽ol? ,2,0,Neutral
"Fergie e Nicki, a melhor dupla que voc锚 respeitaわわわわわ_",0,0,Neutral
"Fazer uma participa莽茫o pequena na m煤sica de Ariana Grande tudo bem agora na m煤sica da Fergie, eu quero minha Nicki de volta.",0,0,Neutral
I subscribed immediately lol I look like one of those people that's really into skincare,0,0,Neutral
Louis tagged Dina in the baby name challenge,0,0,Neutral
I enjoyed the shit outta this ,0,0,Neutral
When you kept running to your big mirror _ぃ,0,0,Neutral
dina check out Louise pentlands video on baby names.she's tagged younlike so dina sees,0,0,Neutral
holy crap you've made me laugh so hard love the review  and the headwrap is gorgeous (is it a scarf and do you have a tutorial?),0,0,Neutral
She looks like Donald trump lien if you agree only right when just put the foundation on,0,0,Neutral
I remember she used to wear a hijab...,0,0,Neutral
Lol she's trying sooo hard not to get too happy but she can't help it ,0,0,Neutral
Hey Dina can u do a review of the 210 cause I'm similar shade to u please x,0,0,Neutral
Love the look and will check it out as I have been looking good foundation.,0,0,Neutral
Wait dina ur teeth did u get veneers ..i think they dont look really natural ..jus helpin out,0,0,Neutral
U look like a grandma,0,0,Neutral
The big mirror does not lie. _,0,0,Neutral
Dina looking at that primer like it was a sex toy,0,0,Neutral
I haven't watched Dina in a while....and this will probably sound like an odd question but: Did she get something done to her teeth? Something looks different about her. X,0,0,Neutral
How many times Dina said Am I imagining things? ,0,0,Neutral
Omg when you took out the primer I was like well ok...how is she gonna put that on she's already wearing foundation. Then you put it on and I was like :o :o :o your skin is perfect mashallah I know you said you are breaking out but wallah it doesn't show Please do a skin care routine your skin looks so smooth,0,0,Neutral
Oh noooo i just realized that you have done your teeth. Looks so fake :( i loooved your real teeth soooo much :(,0,0,Neutral
My face is like glistening butter lmao I love you Dina,0,0,Neutral
Actually L'Or茅al Nordic has a Hijabi model in their campaign as well she is gorgeous Somali girl. Love the blue Turban btw,0,0,Neutral
Why you just dont wear hijab we already see your hair please dont force yourself to wear it just be free :) its dilemma . i really dont understand the meaning of your wearing it . 陌ts for fashion or for religious reasons whats the aim of it showing hair or covering it ?,0,0,Neutral
Not to be rude but those days somehow ur showing ur hair ,0,0,Neutral
Just curious is she sikh. She looks sikh,0,0,Neutral
You're taking this hair showing thing a little too far,0,0,Neutral
I just watched the commercial for Fenty beauty,0,0,Neutral
"Bruh I don't even need to catch the light, its catching it for me   Dina Tokio 2K17",0,0,Neutral
Did she change ger teeth? Can't find a video up on it,0,0,Neutral
