,video_id,positive_comments,negative_comments,Neutral_comments
0,--JinobXWPk,85.0,60.0,155.0
1,--y69Ui8xwM,141.0,47.0,103.0
2,-1fzGnFwz9M,104.0,36.0,60.0
3,-2hRYEFiPSA,453.0,61.0,186.0
4,-6Zc8Co2H3w,365.0,85.0,350.0
5,-AJyaVduxCc,353.0,126.0,305.0
6,-Egtbs-go4Q,68.0,37.0,95.0
7,-HGQJx5M8js,174.0,121.0,205.0
8,-Ifnaxi2LQg,363.0,140.0,397.0
9,-JmNKGfFj7w,206.0,124.0,170.0
10,-LoSw4o2zDQ,258.0,21.0,121.0
11,-QL9dvmddYs,69.0,6.0,425.0
12,-_Q5kO4YXFs,127.0,32.0,141.0
13,-abYDzdg5Vg,332.0,29.0,130.0
14,-c_FsbYR8Q4,80.0,12.0,108.0
15,-eTpw0X9FRQ,11.0,4.0,
16,-f-gdt9p-k0,231.0,138.0,331.0
17,-fbsJZZ2KMw,206.0,142.0,352.0
18,-jFgNreZPf0,324.0,109.0,267.0
19,-p6WWRarjNs,102.0,34.0,64.0
20,-q47sHA4eAo,189.0,108.0,303.0
21,-rwylqSsN0I,23.0,18.0,16.0
22,-uRgjsiPEeM,63.0,54.0,70.0
23,-vjLBmZHWgE,669.0,59.0,72.0
24,-w9EFpyESSU,186.0,67.0,41.0
25,-yKW9NG2yNc,162.0,30.0,108.0
26,-zCYX0esYlo,131.0,69.0,199.0
27,03IUgOd4GH4,191.0,80.0,329.0
28,05v4nfUmBYI,296.0,60.0,244.0
29,07VBLa4RMKs,37.0,29.0,34.0
30,07v6qA2l3n4,331.0,33.0,136.0
31,08RHSZvixec,108.0,72.0,120.0
32,09xOyqOO1Eg,95.0,38.0,67.0
33,0AaApxaD170,229.0,65.0,206.0
34,0Ac0Q7iL_T4,275.0,58.0,167.0
35,0G9L9QKTSQM,163.0,251.0,186.0
36,0H3MirHyX2w,160.0,81.0,259.0
37,0HrxgjmzXUs,316.0,75.0,109.0
38,0IkPBqbfzg4,498.0,35.0,67.0
39,0Jjm3d_7N6A,144.0,7.0,47.0
40,0KLFeWlJtvY,272.0,20.0,108.0
41,0Pz7DnHikLU,198.0,72.0,330.0
42,0QgTwwloZL8,257.0,218.0,125.0
43,0Rb2rr1vWpI,31.0,9.0,60.0
44,0VfGA5bE1AQ,146.0,36.0,218.0
45,0Vwyu5kzA_U,101.0,12.0,20.0
46,0bcHEsmmpzU,197.0,83.0,320.0
47,0dWj2k4FMM8,272.0,76.0,352.0
48,0eKdNcP4xrM,472.0,94.0,333.0
49,0hLx_1Q15eY,271.0,120.0,497.0
50,0lDRz8qmXpE,248.0,144.0,208.0
51,0oxHdtCw3Ns,85.0,41.0,74.0
52,0ptNpGfMRCg,246.0,109.0,345.0
53,0pwttmAYCTw,356.0,49.0,295.0
54,0q12l9wH1No,427.0,6.0,67.0
55,0qfgZJNCCJQ,225.0,35.0,240.0
56,0uUFf8IomLg,146.0,18.0,137.0
57,0wEHhsvyia0,151.0,106.0,243.0
58,10y7JdXctTU,20.0,27.0,28.0
59,11S5tcT2Tm0,574.0,32.0,294.0
60,12MQNUm9iBE,344.0,90.0,166.0
61,12fphklmFzk,35.0,18.0,47.0
62,12vfxYs6F7E,209.0,49.0,342.0
63,16-xMnzDQ4M,74.0,5.0,21.0
64,1MA8LIQ5Tec,502.0,34.0,163.0
65,1NyMSWqIJDQ,219.0,151.0,330.0
66,1PzNy4OhwDk,563.0,77.0,60.0
67,1XYcK1Rw0V4,39.0,12.0,3.0
68,1Yt1O-OhAm4,201.0,61.0,227.0
69,1ZFK3VKzQIs,98.0,15.0,184.0
70,1cnBJYystA0,72.0,8.0,20.0
71,1csaGKAjAvw,54.0,10.0,36.0
72,1cwuh3WDztU,74.0,57.0,68.0
73,1hvdr7RjNRk,370.0,111.0,319.0
74,1kHmFjHzR-s,466.0,58.0,76.0
75,1kTff70rjig,60.0,10.0,30.0
76,1kVLpFilePw,92.0,23.0,85.0
77,1k_whpRADOE,250.0,90.0,255.0
78,1lOsQBZQ9ok,43.0,20.0,80.0
79,1nEp6DcHwhs,99.0,38.0,63.0
80,1pCSv7uXcxE,360.0,60.0,180.0
81,1rmAi9XmlIo,241.0,62.0,196.0
82,1wEh5P6T2_Y,65.0,45.0,72.0
83,1wwwXCQyIRA,663.0,68.0,163.0
84,1yP5Os0f6zA,324.0,32.0,138.0
85,1yYV9-KoSUM,398.0,39.0,161.0
