comment_text,likes,replies,Analysis_comments
I see a lot of comrades in this section. How is going comrades? How is price of potato?,0,0,Positive
Take some more medication and hang out with child molesters in Hollywood Marshall Liberalism is a mental disease that meds can't fix.,0,0,Positive
Eminem the Caucasian Tupac. Always speaking about what every other rapper too scared to mention in our corrupted society. Reason why they're the two greatest rappers ever in my eyes.,0,0,Positive
Dayyyum i thought ry me a river_ was the white mans it em up_ but this shit hard,0,0,Positive
Trump will send a nasty tweet and ban rap,1,0,Positive
Freedom of speech is a mf lol,0,0,Positive
I love Eminem so much more now. Can't wait for trump to tweet tomorrow at 3am how Eminem and BET has the lowest ratings ever in history lol,0,0,Positive
"Go back to doing drugs and talking about killing yourself & family. Also if people get to openly judge Donald Trump for his skin color/tone then it's acceptable to do the same of Blacks, Yellows, Browns, Reds... ect.",0,0,Positive
Damn trump better not try to diss Eminem or it over,0,0,Positive
I'm not a trump fan but this shit stupid. This white boy can wrap for shit.,0,0,Positive
"When you're the Greatest rapper of all time and spend the weekend binge watching CNN and the Jersey Shore Season 2...nice beard, bro.",0,0,Positive
If you still support trump even after his views on Charlottesville AND Puerto Rico.... just kys youe the absolute definition of stupid _し_锔,0,0,Positive
If you were his fan when he was talking about killing women you can stomach this too,0,0,Positive
Does anyone have the lyrics of this freestyle? It would help a lot to non English Speakers like me,0,0,Positive
Where is the uncensored version? Not sure if you heard but you can swear on the internet. It's ok.,0,0,Positive
"Eminem, enjoy future concerts with nonbinary, safespace, selfloathing, political correct, Marxist liberals. That's your audience now. See how that works out for you.",1,0,Positive
"And of course people are going to say being racist is worse then deleting emailsBut do the retards that say that realize that she gave classified information away to the enemy and left a squadron to die in Benghazi even when they asked for airsupport. She let them to die. Our military, our brave soilders who put their life on the line to protect you and give you freedom. You wanna know what trump would've done in Benghazi? He wouldve gotten those soilders out and home, oh and keep in mind this was while Obama was in office and he did absolutely nothing",1,0,Positive
Eminem you're sounding old dude. But nice effort. nI don't like the thumb shaped cheeto either,0,0,Positive
Wow this is powerful,0,0,Positive
I wish I can talk like this at my job =*(,0,0,Positive
"This Is GOLD , Only Idiots and White weirdos Support Trump The Sick people of American#DumpTrump",0,0,Positive
Where's the flow em? Dude stop this acapella nonsense pls.. go back to basics.,0,0,Positive
Anyone know where to get the uncensored version,0,0,Positive
Eminem is my favourite artist of all time. But this made me cringe a bit.,0,0,Positive
Lol. Love Eminem and Trump. Makes me all excited when eminem tells me to f off.,0,0,Positive
So much HATE ...meanwhile Il be eating popcorn  while watching,0,0,Positive
Hey remember when he did that rap about Bush and then the one on Obama.....oh wait....wait....he didn't do one on Obama? It's almost like he wants to BE black so he does whatever he needs to do to get black people to love him.,0,0,Positive
Damn a lot of Eminem dick suckers in the comment section lol,0,0,Positive
Eminem my favorite artist of all time and still kicking it. I grew up on Eminem #fucktrump,1,0,Positive
"He is a great rapper and this is a good cause, but the style of this video is just weird.",0,0,Positive
all Trump supporters will have to say is hateful shit because honestly most of them aren't smart enough to understand what eminem is saying,0,0,Positive
"brainwashing at its finest, wonder how much he was paid to do this",0,0,Positive
All his token black friends in the back are like _ this shit wack asf_,0,0,Positive
Let's see if Em has a career after a few months. #kathygriffennWatch what you say about the President. nWe should never lose respect for the leadership of this country. That makes us look weak. #wackfreestyle#jussayim,0,0,Positive
Thank you Eminem......thank you for saying the truth.... thank you for having the Balls to say the truth about that Racist Filthy Pig ....donald trump.....,1,0,Positive
"No, Marshall, the age is kicking in bruh. Took me awhile to see if it was actually him. For a second i thought this was a parody.. It's been awhile since I saw him probably since Rap God.. It's also got to be the beard and I'm starting to see wrinkles. He looks so unrecognizable.",1,0,Positive
It took 44 years for Eminem to grow 5 o'clock shadow,0,0,Positive
Can someone please give me an example on how Trump is racist?,0,0,Positive
Following Hollywood isn't always a good idea. This was a bad idea by em,0,0,Positive
Eminem looks like Mariah Carey when she dressed up as him in the Obsessed video.,0,0,Positive
So here for this,0,0,Positive
"Eminem is such a loser, go back to the 90's with your crap rap..",0,0,Positive
I not sure why u hate trump. If u can see that America is a sinking ship then u are blind. I happy someone is fighting to bring back jobs and raise income levels. To me it hard to imagine America just 40 years ago and to think how far it fallen. You walk the streets and it almost like a third world country yet people think it the richest country in the world which it was but people don understand debt they don understand that America is flat broke and being held on life support with foreign loans. $20 trillion in debt who has ever heard of these numbers and yet they hate a man trying to bring the economy back. nLook I wanted Obama to be a good president but the fact is he damaged America more financially then any other president. Who doubles the debt that irresponsible and unfair on future generations. People don understand that there children will have to pay that back. So far trump is getting the economy back on track. He has never said a racist word so not sure how u can call him a racist. I just see him as trying to budget the books and bring America back into the black. Oh I must be racist because i said the word black  america has gone stupid and crazy,0,0,Positive
